NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,IpAddress,DomainInSubdomains,DomainInPaths,HostnameLength,PathLength,QueryLength,DoubleSlashInPath
3,1,2,89,7,1,0,0,0,0,0,0,0,9,1,0,0,1,26,56,0,0
3,0,4,58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,27,0,0
1,0,5,76,7,0,0,0,0,0,0,0,0,8,1,0,0,0,10,59,0,0
6,1,4,72,0,0,0,0,0,0,0,0,0,0,1,0,0,1,27,38,0,0
1,0,2,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,17,0,0
2,1,7,96,0,0,0,0,2,0,0,0,0,6,1,0,0,1,21,68,0,0
1,0,3,74,6,0,0,0,0,0,0,0,0,0,1,0,0,1,17,50,0,0
2,1,7,91,0,0,0,0,0,0,0,0,0,18,1,0,0,0,18,66,0,0
1,0,3,48,2,0,0,0,0,0,0,0,0,3,1,0,0,1,11,30,0,0
1,0,4,38,2,2,0,0,0,0,0,0,0,0,1,0,0,0,17,14,0,0
1,0,5,67,3,0,0,0,0,0,0,0,0,8,1,0,0,0,17,43,0,0
3,1,2,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,17,0,0
2,0,3,48,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15,26,0,0
2,1,3,94,1,0,0,0,0,0,0,0,0,21,1,0,0,0,29,58,0,0
2,1,2,56,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,8,0,0
3,1,3,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,26,0,0
2,1,3,59,0,0,0,0,0,2,0,0,0,6,1,0,0,0,22,30,0,0
2,1,3,32,0,0,0,0,0,0,0,0,0,0,1,0,0,1,13,12,0,0
3,1,1,55,0,0,0,0,0,0,2,1,0,6,1,0,0,0,24,11,12,0
2,0,1,83,2,0,0,0,0,0,3,2,0,13,1,0,0,0,21,9,45,0
3,1,3,44,0,0,0,0,0,0,0,0,0,6,1,0,0,1,17,20,0,0
3,0,3,51,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12,24,7,0
3,1,4,69,0,0,0,0,0,0,0,0,0,0,1,0,0,1,22,40,0,0
2,1,5,76,4,0,0,0,0,0,0,0,0,6,1,0,0,1,18,51,0,0
3,1,5,71,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,37,0,0
1,0,6,67,4,0,0,0,0,0,0,0,0,8,1,0,0,1,16,44,0,0
4,1,6,86,2,0,0,0,0,0,0,0,0,1,1,0,0,1,17,62,0,0
1,0,3,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,19,0,0
2,1,4,82,3,0,0,0,0,0,0,0,0,0,1,0,0,0,18,57,0,0
5,2,6,91,4,4,0,0,0,0,0,0,0,9,1,0,0,1,33,51,0,0
1,0,3,113,11,0,0,0,0,0,0,0,0,8,1,0,0,1,15,91,0,0
3,0,2,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,19,0,0
2,1,1,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,10,0,0
2,1,3,60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,24,0,0
5,1,2,95,0,0,0,0,0,0,2,1,0,24,1,0,0,0,10,20,57,0
2,0,3,180,23,0,0,0,0,0,0,0,0,6,1,0,0,1,16,148,8,0
2,0,6,105,1,0,0,0,0,0,0,0,0,24,1,0,0,0,27,71,0,0
1,0,6,88,8,0,0,0,0,0,0,0,0,8,1,0,0,1,14,67,0,0
2,0,2,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,15,0,0
1,0,9,93,0,0,0,0,3,0,0,0,0,0,1,0,0,1,8,78,0,0
2,0,1,39,2,1,0,0,0,0,0,0,0,0,1,0,0,1,15,17,0,0
3,1,5,67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,37,0,0
2,1,2,58,3,0,0,0,0,0,0,0,0,0,1,0,0,1,20,31,0,0
1,0,3,59,2,0,0,0,0,0,0,0,0,8,1,0,0,0,16,36,0,0
3,1,3,84,0,0,0,0,0,0,0,0,0,0,1,0,0,1,28,49,0,0
2,0,2,73,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,36,13,0
2,0,4,56,0,0,0,0,0,0,0,0,0,0,1,0,0,1,24,25,0,0
2,0,4,72,1,0,0,0,0,0,0,0,0,0,1,0,0,0,27,38,0,0
1,0,6,94,9,1,0,0,0,0,0,0,0,10,1,0,0,1,16,71,0,0
1,0,6,102,3,0,0,0,0,0,0,0,0,19,1,0,0,1,22,73,0,0
1,0,2,64,7,0,0,0,0,0,0,0,0,3,1,0,0,0,12,45,0,0
1,0,3,74,7,0,0,0,0,0,0,0,0,6,1,0,0,1,13,54,0,0
2,1,3,85,9,0,0,0,0,0,0,0,0,1,1,0,0,0,15,63,0,0
2,0,2,35,0,0,0,0,0,0,0,0,0,0,1,0,0,1,12,16,0,0
1,0,0,30,1,1,0,0,0,0,0,0,0,0,1,0,0,0,22,1,0,0
3,2,0,66,7,7,0,0,0,0,0,0,0,0,1,0,1,0,58,1,0,0
